WTeam,LTeam,WLoc
Cleveland Cavaliers,New York Knicks,H
San Antonio Spurs,Golden State Warriors,V
Portland Trail Blazers,Utah Jazz,H
Boston Celtics,Brooklyn Nets,H
Indiana Pacers,Dallas Mavericks,H
Los Angeles Lakers,Houston Rockets,H
Memphis Grizzlies,Minnesota Timberwolves,H
Charlotte Hornets,Milwaukee Bucks,V
Denver Nuggets,New Orleans Pelicans,V
Miami Heat,Orlando Magic,V
Oklahoma City Thunder,Philadelphia 76ers,V
Sacramento Kings,Phoenix Suns,V
Toronto Raptors,Detroit Pistons,H
Atlanta Hawks,Washington Wizards,H
Chicago Bulls,Boston Celtics,H
Los Angeles Clippers,Portland Trail Blazers,V
San Antonio Spurs,Sacramento Kings,V
Brooklyn Nets,Indiana Pacers,H
Houston Rockets,Dallas Mavericks,V
Detroit Pistons,Orlando Magic,H
Charlotte Hornets,Miami Heat,V
Golden State Warriors,New Orleans Pelicans,V
Oklahoma City Thunder,Phoenix Suns,H
Cleveland Cavaliers,Toronto Raptors,V
Utah Jazz,Los Angeles Lakers,H
Chicago Bulls,Indiana Pacers,H
Boston Celtics,Charlotte Hornets,V
Cleveland Cavaliers,Orlando Magic,H
Portland Trail Blazers,Denver Nuggets,V
Milwaukee Bucks,Brooklyn Nets,H
New York Knicks,Memphis Grizzlies,H
Atlanta Hawks,Philadelphia 76ers,V
Sacramento Kings,Minnesota Timberwolves,H
San Antonio Spurs,New Orleans Pelicans,H
Detroit Pistons,Milwaukee Bucks,H
Houston Rockets,Dallas Mavericks,H
Los Angeles Clippers,Utah Jazz,H
Memphis Grizzlies,Washington Wizards,H
San Antonio Spurs,Miami Heat,V
Oklahoma City Thunder,Los Angeles Lakers,H
Golden State Warriors,Phoenix Suns,V
Atlanta Hawks,Sacramento Kings,H
Chicago Bulls,Brooklyn Nets,V
Los Angeles Clippers,Phoenix Suns,H
Toronto Raptors,Denver Nuggets,H
Cleveland Cavaliers,Houston Rockets,H
Detroit Pistons,New York Knicks,H
Indiana Pacers,Los Angeles Lakers,H
Miami Heat,Sacramento Kings,H
Minnesota Timberwolves,Memphis Grizzlies,H
Milwaukee Bucks,New Orleans Pelicans,V
Orlando Magic,Philadelphia 76ers,V
Golden State Warriors,Portland Trail Blazers,V
Utah Jazz,San Antonio Spurs,V
Los Angeles Lakers,Atlanta Hawks,V
Boston Celtics,Chicago Bulls,H
Brooklyn Nets,Detroit Pistons,H
Charlotte Hornets,Philadelphia 76ers,H
Oklahoma City Thunder,Los Angeles Clippers,V
Memphis Grizzlies,New Orleans Pelicans,H
Houston Rockets,New York Knicks,V
