WTeam,LTeam,WLoc
Phoenix Suns,Portland Trail Blazers,H
Utah Jazz,Dallas Mavericks,H
Toronto Raptors,Washington Wizards,V
Cleveland Cavaliers,Boston Celtics,H
Golden State Warriors,Oklahoma City Thunder,H
Milwaukee Bucks,Indiana Pacers,H
Denver Nuggets,Minnesota Timberwolves,V
Orlando Magic,Sacramento Kings,H
Charlotte Hornets,Brooklyn Nets,V
New York Knicks,Chicago Bulls,V
Portland Trail Blazers,Dallas Mavericks,V
Los Angeles Lakers,Golden State Warriors,H
Los Angeles Clippers,Memphis Grizzlies,V
Phoenix Suns,New Orleans Pelicans,V
Toronto Raptors,Miami Heat,H
San Antonio Spurs,Utah Jazz,V
Washington Wizards,Atlanta Hawks,H
Atlanta Hawks,Houston Rockets,H
Detroit Pistons,Denver Nuggets,H
Indiana Pacers,Chicago Bulls,H
Milwaukee Bucks,Sacramento Kings,H
Oklahoma City Thunder,Minnesota Timberwolves,H
Orlando Magic,Washington Wizards,H
Cleveland Cavaliers,Philadelphia 76ers,V
Los Angeles Clippers,San Antonio Spurs,V
Denver Nuggets,Boston Celtics,V
Dallas Mavericks,Milwaukee Bucks,H
Los Angeles Lakers,Phoenix Suns,H
Portland Trail Blazers,Memphis Grizzlies,V
Utah Jazz,New York Knicks,V
Sacramento Kings,Toronto Raptors,V
Chicago Bulls,Orlando Magic,H
Charlotte Hornets,Indiana Pacers,H
Golden State Warriors,New Orleans Pelicans,H
Los Angeles Clippers,Detroit Pistons,H
Oklahoma City Thunder,Miami Heat,H
Utah Jazz,Philadelphia 76ers,V
Houston Rockets,Washington Wizards,V
Brooklyn Nets,Minnesota Timberwolves,H
Atlanta Hawks,Cleveland Cavaliers,V
Dallas Mavericks,Los Angeles Lakers,V
Memphis Grizzlies,Denver Nuggets,H
Portland Trail Blazers,Phoenix Suns,H
Sacramento Kings,New Orleans Pelicans,H
Atlanta Hawks,Chicago Bulls,H
Charlotte Hornets,Utah Jazz,H
Golden State Warriors,Dallas Mavericks,H
Indiana Pacers,Philadelphia 76ers,H
Los Angeles Clippers,Portland Trail Blazers,H
New York Knicks,Brooklyn Nets,H
Toronto Raptors,Oklahoma City Thunder,V
Minnesota Timberwolves,Orlando Magic,V
Phoenix Suns,Detroit Pistons,H
Houston Rockets,San Antonio Spurs,V
Washington Wizards,Boston Celtics,H
Golden State Warriors,Denver Nuggets,V
Chicago Bulls,Miami Heat,V
New Orleans Pelicans,Milwaukee Bucks,V
Los Angeles Lakers,Sacramento Kings,V
Boston Celtics,New York Knicks,H
Toronto Raptors,Charlotte Hornets,V
Los Angeles Clippers,Oklahoma City Thunder,V
Utah Jazz,Orlando Magic,V
Philadelphia 76ers,Indiana Pacers,H
Portland Trail Blazers,Sacramento Kings,H
San Antonio Spurs,Detroit Pistons,H
Cleveland Cavaliers,Washington Wizards,V
Atlanta Hawks,Philadelphia 76ers,H
Chicago Bulls,Washington Wizards,H
Detroit Pistons,Denver Nuggets,V
San Antonio Spurs,Houston Rockets,V
Boston Celtics,Indiana Pacers,V
Utah Jazz,Miami Heat,V
Milwaukee Bucks,Memphis Grizzlies,H
Los Angeles Clippers,Minnesota Timberwolves,V
Los Angeles Lakers,New Orleans Pelicans,V
Brooklyn Nets,Phoenix Suns,V
Toronto Raptors,New York Knicks,H
Cleveland Cavaliers,Charlotte Hornets,H
Golden State Warriors,Phoenix Suns,H
Minnesota Timberwolves,Los Angeles Lakers,H
Orlando Magic,Oklahoma City Thunder,V
Portland Trail Blazers,Denver Nuggets,H
Detroit Pistons,Oklahoma City Thunder,H
Houston Rockets,Philadelphia 76ers,H
Indiana Pacers,Orlando Magic,H
Los Angeles Clippers,Brooklyn Nets,H
New Orleans Pelicans,Boston Celtics,H
New York Knicks,Dallas Mavericks,H
San Antonio Spurs,Miami Heat,H
Memphis Grizzlies,Utah Jazz,V
Cleveland Cavaliers,Toronto Raptors,H
Los Angeles Lakers,Brooklyn Nets,H
Atlanta Hawks,Miami Heat,V
Charlotte Hornets,Minnesota Timberwolves,V
Chicago Bulls,Portland Trail Blazers,V
Atlanta Hawks,Milwaukee Bucks,H
Boston Celtics,Dallas Mavericks,H
Denver Nuggets,Phoenix Suns,H
Indiana Pacers,Cleveland Cavaliers,H
Memphis Grizzlies,Los Angeles Clippers,V
New York Knicks,Detroit Pistons,H
Oklahoma City Thunder,Houston Rockets,H
Orlando Magic,New Orleans Pelicans,H
Philadelphia 76ers,Washington Wizards,H
San Antonio Spurs,Sacramento Kings,V
Golden State Warriors,Toronto Raptors,V
Houston Rockets,Portland Trail Blazers,H
Miami Heat,Milwaukee Bucks,H
Minnesota Timberwolves,Philadelphia 76ers,H
Chicago Bulls,Utah Jazz,V
Washington Wizards,New York Knicks,H
Golden State Warriors,Boston Celtics,V
Charlotte Hornets,Atlanta Hawks,H
Cleveland Cavaliers,Detroit Pistons,H
Memphis Grizzlies,Dallas Mavericks,V
Toronto Raptors,Denver Nuggets,V
Phoenix Suns,Indiana Pacers,V
San Antonio Spurs,Los Angeles Lakers,V
New Orleans Pelicans,Portland Trail Blazers,H
Oklahoma City Thunder,Brooklyn Nets,H
Los Angeles Clippers,Sacramento Kings,V
Boston Celtics,Detroit Pistons,V
Houston Rockets,Utah Jazz,H
Los Angeles Clippers,Chicago Bulls,H
Memphis Grizzlies,Minnesota Timberwolves,H
Golden State Warriors,Milwaukee Bucks,V
New Orleans Pelicans,Charlotte Hornets,H
Orlando Magic,Dallas Mavericks,H
Philadelphia 76ers,Phoenix Suns,H
Miami Heat,Washington Wizards,V
Portland Trail Blazers,Brooklyn Nets,V
Denver Nuggets,Utah Jazz,H
Chicago Bulls,Los Angeles Lakers,V
New York Knicks,Atlanta Hawks,H
Indiana Pacers,Oklahoma City Thunder,V
Sacramento Kings,Toronto Raptors,H
Memphis Grizzlies,Charlotte Hornets,V
Houston Rockets,Detroit Pistons,V
Golden State Warriors,Indiana Pacers,V
Los Angeles Clippers,Toronto Raptors,H
Milwaukee Bucks,Orlando Magic,H
Boston Celtics,Minnesota Timberwolves,V
Philadelphia 76ers,Miami Heat,H
San Antonio Spurs,Dallas Mavericks,H
Washington Wizards,Phoenix Suns,H
New Orleans Pelicans,Atlanta Hawks,V
Denver Nuggets,Chicago Bulls,H
Los Angeles Lakers,Oklahoma City Thunder,H
New York Knicks,Portland Trail Blazers,H
Boston Celtics,Brooklyn Nets,V
San Antonio Spurs,Charlotte Hornets,V
Cleveland Cavaliers,Portland Trail Blazers,H
Los Angeles Clippers,Dallas Mavericks,V
Detroit Pistons,Miami Heat,H
Golden State Warriors,Los Angeles Lakers,H
Toronto Raptors,Houston Rockets,V
Atlanta Hawks,Indiana Pacers,V
New Orleans Pelicans,Minnesota Timberwolves,H
Phoenix Suns,Orlando Magic,V
Memphis Grizzlies,Philadelphia 76ers,V
Sacramento Kings,Oklahoma City Thunder,H
Utah Jazz,Denver Nuggets,H
San Antonio Spurs,Boston Celtics,V
Cleveland Cavaliers,Dallas Mavericks,H
Oklahoma City Thunder,Denver Nuggets,V
Detroit Pistons,Los Angeles Clippers,H
Indiana Pacers,Brooklyn Nets,H
Golden State Warriors,Los Angeles Lakers,V
Miami Heat,Memphis Grizzlies,V
Toronto Raptors,Milwaukee Bucks,V
New York Knicks,Charlotte Hornets,H
Washington Wizards,Orlando Magic,V
Chicago Bulls,Philadelphia 76ers,V
Minnesota Timberwolves,Phoenix Suns,V
Portland Trail Blazers,New Orleans Pelicans,H
Houston Rockets,Sacramento Kings,V
Utah Jazz,Atlanta Hawks,H
Charlotte Hornets,New York Knicks,H
Golden State Warriors,Minnesota Timberwolves,H
Memphis Grizzlies,Miami Heat,V
Oklahoma City Thunder,Detroit Pistons,H
San Antonio Spurs,Washington Wizards,V
Sacramento Kings,Brooklyn Nets,V
Dallas Mavericks,New Orleans Pelicans,H
Indiana Pacers,Los Angeles Clippers,H
Los Angeles Lakers,Atlanta Hawks,H
Milwaukee Bucks,Orlando Magic,V
Cleveland Cavaliers,Philadelphia 76ers,V
Denver Nuggets,Phoenix Suns,V
Houston Rockets,Portland Trail Blazers,V
Golden State Warriors,Atlanta Hawks,H
Charlotte Hornets,Memphis Grizzlies,V
Boston Celtics,Miami Heat,V
Utah Jazz,Minnesota Timberwolves,V
Oklahoma City Thunder,New York Knicks,V
Toronto Raptors,Philadelphia 76ers,H
Washington Wizards,Sacramento Kings,H
Brooklyn Nets,Los Angeles Clippers,H
Detroit Pistons,Charlotte Hornets,V
Milwaukee Bucks,Cleveland Cavaliers,H
New Orleans Pelicans,Los Angeles Lakers,H
Orlando Magic,San Antonio Spurs,V
Utah Jazz,Houston Rockets,H
Detroit Pistons,Boston Celtics,V
Los Angeles Lakers,Chicago Bulls,V
San Antonio Spurs,Dallas Mavericks,V
Miami Heat,Denver Nuggets,V
New York Knicks,Minnesota Timberwolves,V
Oklahoma City Thunder,Washington Wizards,H
Phoenix Suns,Atlanta Hawks,H
Portland Trail Blazers,Indiana Pacers,H
Toronto Raptors,Memphis Grizzlies,H
Milwaukee Bucks,Brooklyn Nets,V
Charlotte Hornets,Dallas Mavericks,H
Los Angeles Clippers,Cleveland Cavaliers,V
Houston Rockets,Golden State Warriors,V
Memphis Grizzlies,Orlando Magic,H
Miami Heat,Utah Jazz,V
Detroit Pistons,Atlanta Hawks,V
Boston Celtics,Sacramento Kings,H
Chicago Bulls,Cleveland Cavaliers,H
Houston Rockets,Denver Nuggets,V
Los Angeles Clippers,New Orleans Pelicans,V
New York Knicks,Minnesota Timberwolves,H
Orlando Magic,Philadelphia 76ers,V
San Antonio Spurs,Washington Wizards,H
Toronto Raptors,Los Angeles Lakers,H
Minnesota Timberwolves,Charlotte Hornets,V
Dallas Mavericks,Chicago Bulls,H
Golden State Warriors,Phoenix Suns,H
Memphis Grizzlies,Los Angeles Lakers,H
Milwaukee Bucks,Brooklyn Nets,H
Boston Celtics,Philadelphia 76ers,V
Portland Trail Blazers,Miami Heat,H
Toronto Raptors,Atlanta Hawks,H
Utah Jazz,Denver Nuggets,H
Orlando Magic,Detroit Pistons,V
Indiana Pacers,Los Angeles Clippers,V
New York Knicks,Sacramento Kings,H
Oklahoma City Thunder,New Orleans Pelicans,H
Oklahoma City Thunder,Atlanta Hawks,V
Washington Wizards,Brooklyn Nets,V
Portland Trail Blazers,Chicago Bulls,V
Charlotte Hornets,Dallas Mavericks,V
Golden State Warriors,Indiana Pacers,H
Houston Rockets,Boston Celtics,H
Utah Jazz,Los Angeles Lakers,V
San Antonio Spurs,Milwaukee Bucks,V
Memphis Grizzlies,New Orleans Pelicans,V
Denver Nuggets,Philadelphia 76ers,V
Cleveland Cavaliers,Toronto Raptors,V
Detroit Pistons,Chicago Bulls,H
Memphis Grizzlies,Philadelphia 76ers,H
New York Knicks,Miami Heat,V
San Antonio Spurs,Minnesota Timberwolves,V
Utah Jazz,Phoenix Suns,H
Orlando Magic,Washington Wizards,V
Atlanta Hawks,Miami Heat,H
Brooklyn Nets,Denver Nuggets,H
Charlotte Hornets,Detroit Pistons,H
Sacramento Kings,Dallas Mavericks,V
Houston Rockets,Los Angeles Lakers,H
Golden State Warriors,Los Angeles Clippers,V
Milwaukee Bucks,Portland Trail Blazers,H
Cleveland Cavaliers,New York Knicks,V
Boston Celtics,Orlando Magic,V
Indiana Pacers,Phoenix Suns,V
Chicago Bulls,San Antonio Spurs,H
Memphis Grizzlies,Portland Trail Blazers,H
Philadelphia 76ers,New Orleans Pelicans,V
Toronto Raptors,Minnesota Timberwolves,H
Golden State Warriors,Utah Jazz,V
Washington Wizards,Denver Nuggets,H
Toronto Raptors,Boston Celtics,V
Charlotte Hornets,Orlando Magic,H
Cleveland Cavaliers,Miami Heat,H
Dallas Mavericks,Indiana Pacers,H
Phoenix Suns,Los Angeles Lakers,V
Atlanta Hawks,Milwaukee Bucks,V
Detroit Pistons,Minnesota Timberwolves,V
Houston Rockets,Oklahoma City Thunder,V
New York Knicks,Sacramento Kings,V
Chicago Bulls,Miami Heat,H
Cleveland Cavaliers,Charlotte Hornets,H
Houston Rockets,Dallas Mavericks,H
Indiana Pacers,Portland Trail Blazers,H
Los Angeles Clippers,New Orleans Pelicans,H
Memphis Grizzlies,Golden State Warriors,H
Denver Nuggets,Orlando Magic,V
San Antonio Spurs,Brooklyn Nets,H
Utah Jazz,Sacramento Kings,H
Washington Wizards,Milwaukee Bucks,H
Philadelphia 76ers,Detroit Pistons,V
New York Knicks,Los Angeles Lakers,V
Golden State Warriors,Minnesota Timberwolves,V
Oklahoma City Thunder,Boston Celtics,H
New Orleans Pelicans,Phoenix Suns,V
Dallas Mavericks,Denver Nuggets,H
Houston Rockets,Brooklyn Nets,H
Indiana Pacers,Charlotte Hornets,H
Los Angeles Clippers,Portland Trail Blazers,H
Miami Heat,Washington Wizards,H
Sacramento Kings,Los Angeles Lakers,H
Toronto Raptors,Milwaukee Bucks,H
Orlando Magic,Atlanta Hawks,V
Minnesota Timberwolves,Chicago Bulls,V
Cleveland Cavaliers,Memphis Grizzlies,H
Golden State Warriors,New Orleans Pelicans,V
Phoenix Suns,New York Knicks,H
Portland Trail Blazers,Oklahoma City Thunder,H
Brooklyn Nets,Los Angeles Lakers,H
Detroit Pistons,Dallas Mavericks,V
Houston Rockets,Sacramento Kings,H
Memphis Grizzlies,Cleveland Cavaliers,H
Miami Heat,Indiana Pacers,H
Los Angeles Clippers,Orlando Magic,V
Toronto Raptors,Philadelphia 76ers,V
San Antonio Spurs,Boston Celtics,H
Utah Jazz,Oklahoma City Thunder,H
Washington Wizards,Charlotte Hornets,H
Denver Nuggets,Portland Trail Blazers,H
Golden State Warriors,New York Knicks,H
Milwaukee Bucks,Chicago Bulls,H
New Orleans Pelicans,Indiana Pacers,H
San Antonio Spurs,Phoenix Suns,V
Boston Celtics,Charlotte Hornets,H
Milwaukee Bucks,Chicago Bulls,V
Houston Rockets,New Orleans Pelicans,H
Sacramento Kings,Memphis Grizzlies,V
Los Angeles Clippers,Miami Heat,V
Orlando Magic,Brooklyn Nets,H
Los Angeles Lakers,Philadelphia 76ers,V
Atlanta Hawks,Toronto Raptors,V
Utah Jazz,Dallas Mavericks,H
Washington Wizards,Detroit Pistons,H
Charlotte Hornets,Atlanta Hawks,V
Cleveland Cavaliers,Los Angeles Lakers,H
Denver Nuggets,New York Knicks,H
Indiana Pacers,Detroit Pistons,V
Golden State Warriors,Portland Trail Blazers,H
Houston Rockets,Minnesota Timberwolves,V
Oklahoma City Thunder,Phoenix Suns,H
Dallas Mavericks,Sacramento Kings,H
Utah Jazz,Memphis Grizzlies,V
Boston Celtics,Miami Heat,V
Toronto Raptors,Orlando Magic,V
Philadelphia 76ers,Brooklyn Nets,H
San Antonio Spurs,New Orleans Pelicans,H
Washington Wizards,Los Angeles Clippers,H
Chicago Bulls,Detroit Pistons,H
Denver Nuggets,Dallas Mavericks,H
Indiana Pacers,Washington Wizards,H
Minnesota Timberwolves,Phoenix Suns,H
Atlanta Hawks,Oklahoma City Thunder,V
Charlotte Hornets,Los Angeles Lakers,H
Golden State Warriors,Utah Jazz,H
San Antonio Spurs,Houston Rockets,V
Los Angeles Clippers,Denver Nuggets,H
Boston Celtics,Memphis Grizzlies,V
Orlando Magic,Miami Heat,V
Cleveland Cavaliers,Milwaukee Bucks,V
New York Knicks,Indiana Pacers,H
New Orleans Pelicans,Philadelphia 76ers,V
Sacramento Kings,Portland Trail Blazers,H
Toronto Raptors,Brooklyn Nets,H
Minnesota Timberwolves,Atlanta Hawks,V
Washington Wizards,Chicago Bulls,V
Cleveland Cavaliers,Milwaukee Bucks,H
Memphis Grizzlies,Detroit Pistons,V
Oklahoma City Thunder,New Orleans Pelicans,V
Houston Rockets,Phoenix Suns,V
Dallas Mavericks,Portland Trail Blazers,V
Sacramento Kings,Utah Jazz,V
Golden State Warriors,Brooklyn Nets,V
Boston Celtics,Indiana Pacers,V
Los Angeles Clippers,San Antonio Spurs,H
Miami Heat,Los Angeles Lakers,H
New York Knicks,Orlando Magic,H
Oklahoma City Thunder,Boston Celtics,V
Charlotte Hornets,Chicago Bulls,H
Cleveland Cavaliers,Brooklyn Nets,H
Atlanta Hawks,Denver Nuggets,V
Golden State Warriors,Detroit Pistons,V
Dallas Mavericks,Los Angeles Clippers,V
Memphis Grizzlies,Houston Rockets,H
Milwaukee Bucks,Washington Wizards,H
Sacramento Kings,Minnesota Timberwolves,V
New Orleans Pelicans,Miami Heat,H
Orlando Magic,Los Angeles Lakers,H
Phoenix Suns,Philadelphia 76ers,H
San Antonio Spurs,Portland Trail Blazers,V
Toronto Raptors,Utah Jazz,V
Cleveland Cavaliers,Golden State Warriors,H
Los Angeles Lakers,Los Angeles Clippers,H
Boston Celtics,New York Knicks,V
Oklahoma City Thunder,Minnesota Timberwolves,H
San Antonio Spurs,Chicago Bulls,H
Brooklyn Nets,Charlotte Hornets,H
Chicago Bulls,Indiana Pacers,H
Detroit Pistons,Cleveland Cavaliers,H
Houston Rockets,Phoenix Suns,H
Denver Nuggets,Los Angeles Clippers,V
Minnesota Timberwolves,Atlanta Hawks,H
New Orleans Pelicans,Dallas Mavericks,H
Orlando Magic,Memphis Grizzlies,H
Toronto Raptors,Portland Trail Blazers,V
Sacramento Kings,Philadelphia 76ers,H
Washington Wizards,Milwaukee Bucks,H
Boston Celtics,Memphis Grizzlies,H
Houston Rockets,Dallas Mavericks,V
Utah Jazz,Los Angeles Lakers,V
Oklahoma City Thunder,Miami Heat,V
Atlanta Hawks,New York Knicks,H
Chicago Bulls,Brooklyn Nets,H
Denver Nuggets,Minnesota Timberwolves,H
Milwaukee Bucks,Detroit Pistons,V
Golden State Warriors,Toronto Raptors,H
New Orleans Pelicans,Los Angeles Clippers,H
Charlotte Hornets,Orlando Magic,V
Portland Trail Blazers,Sacramento Kings,H
San Antonio Spurs,Phoenix Suns,H
Washington Wizards,Indiana Pacers,H
Charlotte Hornets,Miami Heat,H
Cleveland Cavaliers,Boston Celtics,H
Dallas Mavericks,Los Angeles Lakers,V
Memphis Grizzlies,Oklahoma City Thunder,H
Phoenix Suns,Toronto Raptors,H
Utah Jazz,Philadelphia 76ers,H
Atlanta Hawks,Detroit Pistons,H
Boston Celtics,Miami Heat,H
Philadelphia 76ers,Denver Nuggets,V
Golden State Warriors,Dallas Mavericks,H
Houston Rockets,Los Angeles Clippers,H
Indiana Pacers,Chicago Bulls,H
Minnesota Timberwolves,Milwaukee Bucks,H
New Orleans Pelicans,New York Knicks,H
San Antonio Spurs,Portland Trail Blazers,H
Washington Wizards,Brooklyn Nets,H
Milwaukee Bucks,Chicago Bulls,V
Cleveland Cavaliers,Charlotte Hornets,V
Houston Rockets,New York Knicks,H
Oklahoma City Thunder,Los Angeles Clippers,H
Memphis Grizzlies,Sacramento Kings,V
Utah Jazz,Phoenix Suns,H
Atlanta Hawks,San Antonio Spurs,H
Indiana Pacers,Orlando Magic,H
Toronto Raptors,Los Angeles Lakers,V
Detroit Pistons,Miami Heat,V
Portland Trail Blazers,Minnesota Timberwolves,V
Utah Jazz,Brooklyn Nets,V
Chicago Bulls,Charlotte Hornets,H
Cleveland Cavaliers,New Orleans Pelicans,H
Golden State Warriors,Denver Nuggets,H
Houston Rockets,Washington Wizards,H
Los Angeles Clippers,Phoenix Suns,H
Milwaukee Bucks,Oklahoma City Thunder,H
Orlando Magic,New York Knicks,V
Boston Celtics,Utah Jazz,H
Dallas Mavericks,Washington Wizards,H
Sacramento Kings,Denver Nuggets,V
Indiana Pacers,Detroit Pistons,V
Los Angeles Lakers,Memphis Grizzlies,H
Philadelphia 76ers,Minnesota Timberwolves,H
Phoenix Suns,Miami Heat,H
San Antonio Spurs,Toronto Raptors,H
Charlotte Hornets,Oklahoma City Thunder,H
Chicago Bulls,Cleveland Cavaliers,V
Golden State Warriors,Portland Trail Blazers,H
Los Angeles Clippers,Memphis Grizzlies,H
Milwaukee Bucks,New York Knicks,V
Atlanta Hawks,Orlando Magic,V
Miami Heat,Sacramento Kings,V
Phoenix Suns,Dallas Mavericks,V
San Antonio Spurs,Denver Nuggets,V
Detroit Pistons,Charlotte Hornets,H
Houston Rockets,Oklahoma City Thunder,H
Indiana Pacers,Brooklyn Nets,H
Atlanta Hawks,New Orleans Pelicans,V
Portland Trail Blazers,Los Angeles Lakers,H
Toronto Raptors,Utah Jazz,H
Boston Celtics,Philadelphia 76ers,H
Cleveland Cavaliers,Brooklyn Nets,V
Memphis Grizzlies,Golden State Warriors,V
Los Angeles Lakers,Miami Heat,H
New York Knicks,Milwaukee Bucks,V
Houston Rockets,Orlando Magic,V
Los Angeles Clippers,Sacramento Kings,V
Washington Wizards,Minnesota Timberwolves,H
Boston Celtics,New Orleans Pelicans,H
Chicago Bulls,Toronto Raptors,H
Atlanta Hawks,Dallas Mavericks,V
Indiana Pacers,New York Knicks,H
Utah Jazz,Minnesota Timberwolves,V
Oklahoma City Thunder,Denver Nuggets,H
San Antonio Spurs,Charlotte Hornets,H
Philadelphia 76ers,Brooklyn Nets,V
Los Angeles Clippers,Miami Heat,H
Los Angeles Lakers,Orlando Magic,H
Memphis Grizzlies,Utah Jazz,H
Washington Wizards,Milwaukee Bucks,V
Cleveland Cavaliers,Phoenix Suns,V
Detroit Pistons,Portland Trail Blazers,V
Golden State Warriors,Sacramento Kings,V
Houston Rockets,Toronto Raptors,V
Oklahoma City Thunder,Chicago Bulls,V
Minnesota Timberwolves,Dallas Mavericks,H
New Orleans Pelicans,New York Knicks,V
Atlanta Hawks,Brooklyn Nets,V
Golden State Warriors,Miami Heat,H
Houston Rockets,Charlotte Hornets,H
Portland Trail Blazers,Los Angeles Lakers,V
Sacramento Kings,Detroit Pistons,H
Milwaukee Bucks,San Antonio Spurs,V
Toronto Raptors,Boston Celtics,H
Utah Jazz,Cleveland Cavaliers,H
Washington Wizards,Chicago Bulls,H
Boston Celtics,Washington Wizards,H
Los Angeles Clippers,Orlando Magic,H
Minnesota Timberwolves,Houston Rockets,H
Oklahoma City Thunder,Memphis Grizzlies,H
Philadelphia 76ers,New York Knicks,H
Portland Trail Blazers,Cleveland Cavaliers,H
New Orleans Pelicans,Brooklyn Nets,V
Denver Nuggets,Indiana Pacers,H
Golden State Warriors,Detroit Pistons,H
New York Knicks,Chicago Bulls,H
Dallas Mavericks,Phoenix Suns,V
San Antonio Spurs,Los Angeles Lakers,H
Boston Celtics,Atlanta Hawks,V
Memphis Grizzlies,Houston Rockets,V
Milwaukee Bucks,Miami Heat,H
Minnesota Timberwolves,Oklahoma City Thunder,H
Philadelphia 76ers,Charlotte Hornets,H
Orlando Magic,Portland Trail Blazers,V
Cleveland Cavaliers,Sacramento Kings,V
Toronto Raptors,Brooklyn Nets,H
Utah Jazz,Detroit Pistons,H
Chicago Bulls,New Orleans Pelicans,H
Los Angeles Clippers,Los Angeles Lakers,H
Phoenix Suns,San Antonio Spurs,H
Utah Jazz,Orlando Magic,H
Washington Wizards,Philadelphia 76ers,H
Atlanta Hawks,Milwaukee Bucks,H
Houston Rockets,Brooklyn Nets,V
Dallas Mavericks,Minnesota Timberwolves,H
Detroit Pistons,Los Angeles Lakers,V
Chicago Bulls,Memphis Grizzlies,V
Oklahoma City Thunder,Sacramento Kings,V
Toronto Raptors,New York Knicks,H
Boston Celtics,Charlotte Hornets,H
Denver Nuggets,Orlando Magic,H
Golden State Warriors,Cleveland Cavaliers,H
Indiana Pacers,New Orleans Pelicans,H
Los Angeles Clippers,Oklahoma City Thunder,H
Philadelphia 76ers,Milwaukee Bucks,V
Atlanta Hawks,New York Knicks,V
Utah Jazz,Phoenix Suns,V
Washington Wizards,Portland Trail Blazers,H
Toronto Raptors,Brooklyn Nets,V
Dallas Mavericks,Chicago Bulls,V
Denver Nuggets,Los Angeles Lakers,V
Miami Heat,Houston Rockets,H
San Antonio Spurs,Minnesota Timberwolves,H
New York Knicks,Boston Celtics,V
Charlotte Hornets,Portland Trail Blazers,H
Detroit Pistons,Atlanta Hawks,H
Golden State Warriors,Oklahoma City Thunder,H
Houston Rockets,Milwaukee Bucks,H
New Orleans Pelicans,Orlando Magic,H
Philadelphia 76ers,Toronto Raptors,H
Indiana Pacers,Sacramento Kings,V
Washington Wizards,Memphis Grizzlies,H
Cleveland Cavaliers,Phoenix Suns,H
Minnesota Timberwolves,Los Angeles Clippers,V
Miami Heat,Dallas Mavericks,H
Washington Wizards,New York Knicks,V
San Antonio Spurs,Denver Nuggets,H
Atlanta Hawks,Chicago Bulls,H
Charlotte Hornets,Toronto Raptors,H
Utah Jazz,Dallas Mavericks,V
Golden State Warriors,Houston Rockets,V
Los Angeles Lakers,Indiana Pacers,H
Memphis Grizzlies,Sacramento Kings,H
Brooklyn Nets,New Orleans Pelicans,V
Orlando Magic,Milwaukee Bucks,H
Philadelphia 76ers,Portland Trail Blazers,H
Atlanta Hawks,Philadelphia 76ers,H
Portland Trail Blazers,Boston Celtics,V
Chicago Bulls,Sacramento Kings,H
Charlotte Hornets,Brooklyn Nets,H
San Antonio Spurs,Cleveland Cavaliers,V
Denver Nuggets,Los Angeles Clippers,H
Detroit Pistons,Washington Wizards,H
Houston Rockets,Memphis Grizzlies,V
