WTeam,LTeam,WLoc
Charlotte Hornets,Atlanta Hawks,H
Cleveland Cavaliers,Denver Nuggets,V
Detroit Pistons,Milwaukee Bucks,H
Memphis Grizzlies,Oklahoma City Thunder,V
Orlando Magic,Minnesota Timberwolves,H
Chicago Bulls,Philadelphia 76ers,V
Sacramento Kings,Phoenix Suns,V
Toronto Raptors,Washington Wizards,H
Dallas Mavericks,Utah Jazz,V
Atlanta Hawks,New York Knicks,H
Boston Celtics,Chicago Bulls,V
Golden State Warriors,Houston Rockets,V
Washington Wizards,Indiana Pacers,V
Los Angeles Clippers,Portland Trail Blazers,H
Miami Heat,Minnesota Timberwolves,H
Milwaukee Bucks,Memphis Grizzlies,H
New Orleans Pelicans,San Antonio Spurs,V
Brooklyn Nets,Orlando Magic,H
Miami Heat,Dallas Mavericks,V
Utah Jazz,Detroit Pistons,V
Los Angeles Lakers,Charlotte Hornets,H
Oklahoma City Thunder,Sacramento Kings,H
Phoenix Suns,Golden State Warriors,H
Portland Trail Blazers,Denver Nuggets,H
Toronto Raptors,Philadelphia 76ers,H
Chicago Bulls,Detroit Pistons,H
Cleveland Cavaliers,New Orleans Pelicans,H
Indiana Pacers,Utah Jazz,H
San Antonio Spurs,Los Angeles Clippers,V
Atlanta Hawks,New York Knicks,V
Dallas Mavericks,Sacramento Kings,H
San Antonio Spurs,Golden State Warriors,V
Memphis Grizzlies,Los Angeles Lakers,H
Milwaukee Bucks,Oklahoma City Thunder,H
Portland Trail Blazers,Charlotte Hornets,H
Toronto Raptors,Orlando Magic,H
Atlanta Hawks,Utah Jazz,H
Oklahoma City Thunder,Boston Celtics,V
Portland Trail Blazers,Denver Nuggets,V
Indiana Pacers,Miami Heat,V
Houston Rockets,Minnesota Timberwolves,V
New Orleans Pelicans,Los Angeles Lakers,H
Orlando Magic,New York Knicks,V
Phoenix Suns,Brooklyn Nets,H
Washington Wizards,Detroit Pistons,H
Dallas Mavericks,Philadelphia 76ers,H
Golden State Warriors,Brooklyn Nets,H
Memphis Grizzlies,Sacramento Kings,H
Chicago Bulls,Toronto Raptors,V
Atlanta Hawks,Miami Heat,H
Cleveland Cavaliers,Boston Celtics,V
Houston Rockets,Philadelphia 76ers,H
Denver Nuggets,Indiana Pacers,V
San Antonio Spurs,Los Angeles Lakers,V
New Orleans Pelicans,Minnesota Timberwolves,H
Utah Jazz,New York Knicks,V
Detroit Pistons,Oklahoma City Thunder,V
Orlando Magic,Milwaukee Bucks,H
Charlotte Hornets,Phoenix Suns,V
Indiana Pacers,Chicago Bulls,V
Cleveland Cavaliers,Atlanta Hawks,H
Dallas Mavericks,Minnesota Timberwolves,H
Golden State Warriors,Charlotte Hornets,H
Los Angeles Clippers,Phoenix Suns,H
Memphis Grizzlies,Detroit Pistons,H
Portland Trail Blazers,Brooklyn Nets,H
Sacramento Kings,San Antonio Spurs,H
Toronto Raptors,Utah Jazz,H
Washington Wizards,Orlando Magic,H
Golden State Warriors,Los Angeles Lakers,V
Milwaukee Bucks,Miami Heat,V
New York Knicks,Denver Nuggets,H
Houston Rockets,Oklahoma City Thunder,V
Phoenix Suns,Boston Celtics,V
Miami Heat,Brooklyn Nets,V
Dallas Mavericks,Charlotte Hornets,V
Denver Nuggets,Cleveland Cavaliers,V
Orlando Magic,Detroit Pistons,V
Chicago Bulls,Los Angeles Clippers,V
Memphis Grizzlies,Houston Rockets,H
Portland Trail Blazers,New Orleans Pelicans,H
San Antonio Spurs,Philadelphia 76ers,H
Los Angeles Lakers,Atlanta Hawks,V
Milwaukee Bucks,New York Knicks,H
New Orleans Pelicans,Sacramento Kings,V
Utah Jazz,Oklahoma City Thunder,H
Milwaukee Bucks,Brooklyn Nets,V
San Antonio Spurs,Cleveland Cavaliers,V
Denver Nuggets,Oklahoma City Thunder,H
Phoenix Suns,Detroit Pistons,V
Los Angeles Lakers,Houston Rockets,V
Indiana Pacers,Charlotte Hornets,H
Minnesota Timberwolves,New York Knicks,H
Los Angeles Clippers,Orlando Magic,V
Boston Celtics,Philadelphia 76ers,V
Toronto Raptors,Memphis Grizzlies,H
Dallas Mavericks,Washington Wizards,V
Los Angeles Clippers,Miami Heat,V
Sacramento Kings,Chicago Bulls,H
Atlanta Hawks,Detroit Pistons,H
Orlando Magic,Charlotte Hornets,V
Dallas Mavericks,Los Angeles Lakers,H
Denver Nuggets,New Orleans Pelicans,H
Golden State Warriors,Utah Jazz,H
Memphis Grizzlies,Boston Celtics,H
San Antonio Spurs,Minnesota Timberwolves,V
Brooklyn Nets,Oklahoma City Thunder,V
Phoenix Suns,Philadelphia 76ers,V
Portland Trail Blazers,Chicago Bulls,H
Toronto Raptors,Milwaukee Bucks,H
Washington Wizards,Cleveland Cavaliers,H
Toronto Raptors,Cleveland Cavaliers,V
Houston Rockets,Dallas Mavericks,H
Phoenix Suns,Indiana Pacers,V
Washington Wizards,Milwaukee Bucks,V
Sacramento Kings,Minnesota Timberwolves,V
New York Knicks,Philadelphia 76ers,H
Miami Heat,Orlando Magic,V
San Antonio Spurs,Brooklyn Nets,H
New Orleans Pelicans,Utah Jazz,V
Portland Trail Blazers,Boston Celtics,V
Denver Nuggets,Los Angeles Lakers,V
Memphis Grizzlies,Los Angeles Clippers,H
Miami Heat,Charlotte Hornets,H
Golden State Warriors,Oklahoma City Thunder,V
Los Angeles Clippers,Charlotte Hornets,V
Cleveland Cavaliers,Orlando Magic,H
Indiana Pacers,Dallas Mavericks,V
Houston Rockets,New York Knicks,H
Portland Trail Blazers,Philadelphia 76ers,V
Toronto Raptors,Phoenix Suns,H
Chicago Bulls,Utah Jazz,V
Denver Nuggets,Chicago Bulls,H
Golden State Warriors,Miami Heat,V
Milwaukee Bucks,Detroit Pistons,H
Sacramento Kings,New Orleans Pelicans,V
Atlanta Hawks,Washington Wizards,V
Toronto Raptors,Atlanta Hawks,V
Portland Trail Blazers,Charlotte Hornets,V
Cleveland Cavaliers,Washington Wizards,H
Dallas Mavericks,New York Knicks,H
Los Angeles Clippers,Detroit Pistons,V
Houston Rockets,Sacramento Kings,H
Memphis Grizzlies,Los Angeles Lakers,V
Milwaukee Bucks,Minnesota Timberwolves,V
Oklahoma City Thunder,Utah Jazz,H
Golden State Warriors,Orlando Magic,V
Brooklyn Nets,Philadelphia 76ers,V
Phoenix Suns,Denver Nuggets,H
San Antonio Spurs,Indiana Pacers,H
Atlanta Hawks,New Orleans Pelicans,H
Chicago Bulls,Boston Celtics,V
Golden State Warriors,Charlotte Hornets,V
Denver Nuggets,Phoenix Suns,H
Milwaukee Bucks,Detroit Pistons,V
Los Angeles Clippers,Houston Rockets,V
Indiana Pacers,Orlando Magic,H
Minnesota Timberwolves,Los Angeles Lakers,V
Oklahoma City Thunder,New York Knicks,H
Memphis Grizzlies,Portland Trail Blazers,V
San Antonio Spurs,Sacramento Kings,H
Dallas Mavericks,Toronto Raptors,V
Atlanta Hawks,Charlotte Hornets,H
Cleveland Cavaliers,Indiana Pacers,H
Houston Rockets,Milwaukee Bucks,V
Dallas Mavericks,Philadelphia 76ers,V
Los Angeles Clippers,Utah Jazz,V
Washington Wizards,New Orleans Pelicans,H
San Antonio Spurs,Boston Celtics,V
Chicago Bulls,Brooklyn Nets,V
Golden State Warriors,Detroit Pistons,V
Los Angeles Lakers,Toronto Raptors,H
Miami Heat,New York Knicks,V
Orlando Magic,Phoenix Suns,V
Portland Trail Blazers,Minnesota Timberwolves,H
Memphis Grizzlies,Sacramento Kings,V
Los Angeles Clippers,Minnesota Timberwolves,H
San Antonio Spurs,Philadelphia 76ers,V
Denver Nuggets,Utah Jazz,V
Washington Wizards,Miami Heat,H
Atlanta Hawks,Boston Celtics,H
Dallas Mavericks,Chicago Bulls,V
Cleveland Cavaliers,Milwaukee Bucks,H
Portland Trail Blazers,Denver Nuggets,V
Los Angeles Lakers,Detroit Pistons,V
Golden State Warriors,Orlando Magic,H
New Orleans Pelicans,Oklahoma City Thunder,H
Brooklyn Nets,New York Knicks,V
Phoenix Suns,Indiana Pacers,H
Toronto Raptors,Sacramento Kings,V
Boston Celtics,Detroit Pistons,H
Brooklyn Nets,San Antonio Spurs,H
Chicago Bulls,Charlotte Hornets,V
Houston Rockets,Memphis Grizzlies,H
Los Angeles Clippers,Orlando Magic,H
Atlanta Hawks,Miami Heat,V
Dallas Mavericks,Milwaukee Bucks,V
Philadelphia 76ers,Minnesota Timberwolves,V
Toronto Raptors,Utah Jazz,V
Washington Wizards,Los Angeles Lakers,H
Golden State Warriors,New Orleans Pelicans,H
Cleveland Cavaliers,New York Knicks,V
Portland Trail Blazers,Indiana Pacers,H
Boston Celtics,Los Angeles Lakers,H
Atlanta Hawks,Brooklyn Nets,V
Charlotte Hornets,New York Knicks,H
Phoenix Suns,Dallas Mavericks,V
San Antonio Spurs,Memphis Grizzlies,V
Milwaukee Bucks,Miami Heat,H
Houston Rockets,Minnesota Timberwolves,V
Oklahoma City Thunder,Philadelphia 76ers,V
Sacramento Kings,Indiana Pacers,H
Cleveland Cavaliers,Toronto Raptors,V
Orlando Magic,Utah Jazz,V
Washington Wizards,Denver Nuggets,H
Golden State Warriors,Chicago Bulls,V
Philadelphia 76ers,Detroit Pistons,V
Houston Rockets,Phoenix Suns,H
Los Angeles Clippers,New Orleans Pelicans,H
Orlando Magic,Sacramento Kings,V
San Antonio Spurs,Minnesota Timberwolves,H
Atlanta Hawks,Denver Nuggets,H
Boston Celtics,Washington Wizards,H
Dallas Mavericks,Milwaukee Bucks,H
Oklahoma City Thunder,Detroit Pistons,V
New Orleans Pelicans,Los Angeles Lakers,V
Memphis Grizzlies,Miami Heat,H
Portland Trail Blazers,New York Knicks,V
Cleveland Cavaliers,Brooklyn Nets,V
Atlanta Hawks,Indiana Pacers,V
Los Angeles Clippers,Phoenix Suns,H
Golden State Warriors,Minnesota Timberwolves,V
Sacramento Kings,Utah Jazz,H
Toronto Raptors,Denver Nuggets,H
Washington Wizards,Boston Celtics,H
Cleveland Cavaliers,Toronto Raptors,H
Portland Trail Blazers,Detroit Pistons,V
Los Angeles Lakers,Sacramento Kings,H
Memphis Grizzlies,Dallas Mavericks,H
New Orleans Pelicans,New York Knicks,H
Oklahoma City Thunder,Milwaukee Bucks,H
Miami Heat,Phoenix Suns,V
Utah Jazz,San Antonio Spurs,H
Atlanta Hawks,Philadelphia 76ers,H
Chicago Bulls,Brooklyn Nets,H
Charlotte Hornets,Boston Celtics,H
Dallas Mavericks,New Orleans Pelicans,H
Denver Nuggets,Miami Heat,H
Golden State Warriors,Houston Rockets,H
Los Angeles Clippers,Indiana Pacers,V
Minnesota Timberwolves,Portland Trail Blazers,H
Washington Wizards,Orlando Magic,V
San Antonio Spurs,New York Knicks,H
Oklahoma City Thunder,Cleveland Cavaliers,H
Houston Rockets,Sacramento Kings,V
Atlanta Hawks,Orlando Magic,H
New York Knicks,Boston Celtics,V
Brooklyn Nets,Philadelphia 76ers,H
Chicago Bulls,Portland Trail Blazers,H
Memphis Grizzlies,Charlotte Hornets,H
Oklahoma City Thunder,Minnesota Timberwolves,V
New Orleans Pelicans,Cleveland Cavaliers,H
Detroit Pistons,Phoenix Suns,V
Los Angeles Lakers,San Antonio Spurs,V
Toronto Raptors,Indiana Pacers,H
Miami Heat,Utah Jazz,V
Washington Wizards,Los Angeles Clippers,H
Brooklyn Nets,Charlotte Hornets,V
Golden State Warriors,Dallas Mavericks,V
Houston Rockets,Denver Nuggets,H
Portland Trail Blazers,Indiana Pacers,V
Milwaukee Bucks,Los Angeles Clippers,H
Orlando Magic,Atlanta Hawks,H
Memphis Grizzlies,Philadelphia 76ers,V
Detroit Pistons,Sacramento Kings,V
San Antonio Spurs,Denver Nuggets,V
Chicago Bulls,Miami Heat,V
Los Angeles Lakers,Minnesota Timberwolves,V
Golden State Warriors,New Orleans Pelicans,V
Toronto Raptors,New York Knicks,V
Oklahoma City Thunder,Phoenix Suns,H
Washington Wizards,Utah Jazz,H
Atlanta Hawks,Chicago Bulls,H
Cleveland Cavaliers,Charlotte Hornets,H
Indiana Pacers,Los Angeles Lakers,H
Los Angeles Clippers,Detroit Pistons,H
Boston Celtics,Philadelphia 76ers,V
Milwaukee Bucks,Phoenix Suns,V
Portland Trail Blazers,San Antonio Spurs,H
Toronto Raptors,Orlando Magic,H
Miami Heat,Brooklyn Nets,V
Memphis Grizzlies,Golden State Warriors,H
New Orleans Pelicans,Utah Jazz,H
Dallas Mavericks,New York Knicks,V
Oklahoma City Thunder,Sacramento Kings,V
Washington Wizards,Minnesota Timberwolves,H
Boston Celtics,Orlando Magic,H
Phoenix Suns,Charlotte Hornets,V
Atlanta Hawks,Cleveland Cavaliers,V
Houston Rockets,Denver Nuggets,V
Dallas Mavericks,Detroit Pistons,V
Los Angeles Clippers,Indiana Pacers,H
Utah Jazz,Miami Heat,V
Portland Trail Blazers,Milwaukee Bucks,H
Memphis Grizzlies,San Antonio Spurs,V
Toronto Raptors,Brooklyn Nets,H
Chicago Bulls,New York Knicks,H
Golden State Warriors,Oklahoma City Thunder,H
New Orleans Pelicans,Houston Rockets,V
Milwaukee Bucks,Sacramento Kings,V
Boston Celtics,Minnesota Timberwolves,H
Cleveland Cavaliers,Brooklyn Nets,H
Denver Nuggets,Los Angeles Clippers,H
Toronto Raptors,Detroit Pistons,V
Oklahoma City Thunder,Los Angeles Lakers,V
Chicago Bulls,Memphis Grizzlies,V
Washington Wizards,Miami Heat,V
Utah Jazz,Orlando Magic,V
Charlotte Hornets,Philadelphia 76ers,V
Portland Trail Blazers,San Antonio Spurs,V
Charlotte Hornets,Utah Jazz,H
Dallas Mavericks,San Antonio Spurs,H
Denver Nuggets,Indiana Pacers,H
Atlanta Hawks,Houston Rockets,V
Los Angeles Clippers,Milwaukee Bucks,H
Portland Trail Blazers,New Orleans Pelicans,V
Phoenix Suns,New York Knicks,V
Brooklyn Nets,Detroit Pistons,H
Cleveland Cavaliers,Memphis Grizzlies,H
Miami Heat,Boston Celtics,H
Indiana Pacers,Minnesota Timberwolves,V
New Orleans Pelicans,Oklahoma City Thunder,V
Philadelphia 76ers,Orlando Magic,V
Sacramento Kings,Los Angeles Lakers,H
Toronto Raptors,New York Knicks,H
Phoenix Suns,Washington Wizards,V
Chicago Bulls,Toronto Raptors,H
Charlotte Hornets,Denver Nuggets,H
Atlanta Hawks,Dallas Mavericks,V
Golden State Warriors,Sacramento Kings,H
Houston Rockets,Portland Trail Blazers,H
Utah Jazz,Memphis Grizzlies,V
San Antonio Spurs,Los Angeles Clippers,H
Atlanta Hawks,Los Angeles Clippers,H
Brooklyn Nets,Denver Nuggets,H
Cleveland Cavaliers,Minnesota Timberwolves,H
Indiana Pacers,New Orleans Pelicans,H
Los Angeles Lakers,Golden State Warriors,H
Philadelphia 76ers,Miami Heat,V
Charlotte Hornets,Milwaukee Bucks,V
Portland Trail Blazers,Oklahoma City Thunder,V
Orlando Magic,Boston Celtics,H
Phoenix Suns,Dallas Mavericks,H
Chicago Bulls,Washington Wizards,V
Chicago Bulls,Los Angeles Lakers,H
Los Angeles Clippers,Golden State Warriors,H
Miami Heat,Cleveland Cavaliers,H
Washington Wizards,New York Knicks,V
Oklahoma City Thunder,San Antonio Spurs,V
Milwaukee Bucks,Atlanta Hawks,V
Brooklyn Nets,Boston Celtics,V
Dallas Mavericks,Los Angeles Lakers,H
Denver Nuggets,Minnesota Timberwolves,H
Detroit Pistons,Indiana Pacers,H
Houston Rockets,Memphis Grizzlies,V
New Orleans Pelicans,San Antonio Spurs,H
Oklahoma City Thunder,Charlotte Hornets,H
Cleveland Cavaliers,Orlando Magic,V
Portland Trail Blazers,Philadelphia 76ers,H
Phoenix Suns,Sacramento Kings,V
Indiana Pacers,Brooklyn Nets,V
Chicago Bulls,New Orleans Pelicans,H
Orlando Magic,Charlotte Hornets,V
Golden State Warriors,Minnesota Timberwolves,H
Toronto Raptors,Los Angeles Clippers,V
Memphis Grizzlies,Miami Heat,V
Atlanta Hawks,Milwaukee Bucks,V
Sacramento Kings,New York Knicks,H
Utah Jazz,Philadelphia 76ers,H
Washington Wizards,Boston Celtics,H
Detroit Pistons,Cleveland Cavaliers,V
Dallas Mavericks,Oklahoma City Thunder,H
Toronto Raptors,Denver Nuggets,V
Phoenix Suns,Los Angeles Lakers,V
Portland Trail Blazers,New York Knicks,H
San Antonio Spurs,Houston Rockets,H
Brooklyn Nets,Sacramento Kings,H
Milwaukee Bucks,Charlotte Hornets,V
Washington Wizards,Houston Rockets,V
Chicago Bulls,Indiana Pacers,V
Los Angeles Clippers,Utah Jazz,H
Orlando Magic,Miami Heat,V
Atlanta Hawks,Cleveland Cavaliers,H
Brooklyn Nets,Chicago Bulls,V
Dallas Mavericks,Washington Wizards,H
Los Angeles Lakers,Denver Nuggets,V
Golden State Warriors,Philadelphia 76ers,H
Memphis Grizzlies,San Antonio Spurs,H
New Orleans Pelicans,Phoenix Suns,H
Detroit Pistons,Orlando Magic,V
Portland Trail Blazers,Toronto Raptors,H
Utah Jazz,Minnesota Timberwolves,H
Boston Celtics,Sacramento Kings,H
Milwaukee Bucks,Cleveland Cavaliers,V
Houston Rockets,Charlotte Hornets,H
Indiana Pacers,Miami Heat,H
Los Angeles Clippers,New York Knicks,H
Oklahoma City Thunder,Phoenix Suns,H
San Antonio Spurs,New Orleans Pelicans,H
Chicago Bulls,Denver Nuggets,H
Sacramento Kings,Minnesota Timberwolves,V
Dallas Mavericks,Boston Celtics,V
Cleveland Cavaliers,Charlotte Hornets,V
Golden State Warriors,Toronto Raptors,H
Memphis Grizzlies,Los Angeles Lakers,V
Indiana Pacers,Milwaukee Bucks,V
New Orleans Pelicans,Houston Rockets,H
Detroit Pistons,New York Knicks,V
Oklahoma City Thunder,Washington Wizards,H
Brooklyn Nets,Orlando Magic,V
Phoenix Suns,Philadelphia 76ers,H
Atlanta Hawks,Utah Jazz,V
Chicago Bulls,Boston Celtics,H
Denver Nuggets,Memphis Grizzlies,H
Houston Rockets,Miami Heat,H
Los Angeles Clippers,Philadelphia 76ers,H
Utah Jazz,Minnesota Timberwolves,V
Charlotte Hornets,Orlando Magic,V
Atlanta Hawks,Portland Trail Blazers,V
San Antonio Spurs,Washington Wizards,H
Dallas Mavericks,Cleveland Cavaliers,V
Detroit Pistons,Sacramento Kings,H
Los Angeles Lakers,Indiana Pacers,H
Miami Heat,Brooklyn Nets,H
Milwaukee Bucks,New York Knicks,V
Phoenix Suns,Toronto Raptors,H
Charlotte Hornets,Boston Celtics,V
Dallas Mavericks,Brooklyn Nets,V
Chicago Bulls,Houston Rockets,H
Golden State Warriors,Oklahoma City Thunder,H
Atlanta Hawks,Los Angeles Clippers,V
Memphis Grizzlies,New York Knicks,H
Denver Nuggets,Minnesota Timberwolves,V
Washington Wizards,New Orleans Pelicans,V
Philadelphia 76ers,Cleveland Cavaliers,H
Portland Trail Blazers,Los Angeles Lakers,H
Indiana Pacers,Utah Jazz,V
Phoenix Suns,Milwaukee Bucks,V
Detroit Pistons,San Antonio Spurs,V
Atlanta Hawks,Memphis Grizzlies,H
Boston Celtics,Brooklyn Nets,V
Utah Jazz,Chicago Bulls,V
Charlotte Hornets,New Orleans Pelicans,H
Houston Rockets,Cleveland Cavaliers,V
Detroit Pistons,Dallas Mavericks,V
Denver Nuggets,Orlando Magic,H
Golden State Warriors,Indiana Pacers,H
Los Angeles Clippers,Los Angeles Lakers,H
Phoenix Suns,Minnesota Timberwolves,V
Milwaukee Bucks,Philadelphia 76ers,V
Sacramento Kings,Oklahoma City Thunder,H
Washington Wizards,New York Knicks,H
Houston Rockets,New York Knicks,V
Portland Trail Blazers,Miami Heat,H
Charlotte Hornets,Toronto Raptors,V
Philadelphia 76ers,Brooklyn Nets,V
Atlanta Hawks,Detroit Pistons,V
Golden State Warriors,Cleveland Cavaliers,H
Indiana Pacers,Boston Celtics,H
Los Angeles Lakers,Orlando Magic,H
Milwaukee Bucks,Minnesota Timberwolves,H
New Orleans Pelicans,Memphis Grizzlies,H
Oklahoma City Thunder,Utah Jazz,H
Denver Nuggets,Sacramento Kings,V
San Antonio Spurs,Phoenix Suns,H
Washington Wizards,Chicago Bulls,H
Chicago Bulls,Milwaukee Bucks,H
Detroit Pistons,Brooklyn Nets,H
Houston Rockets,Utah Jazz,H
Los Angeles Clippers,Dallas Mavericks,H
San Antonio Spurs,Minnesota Timberwolves,V
Charlotte Hornets,New York Knicks,V
Philadelphia 76ers,Indiana Pacers,H
Portland Trail Blazers,Orlando Magic,H
Toronto Raptors,Boston Celtics,H
Atlanta Hawks,Washington Wizards,H
Miami Heat,Los Angeles Clippers,V
Portland Trail Blazers,Los Angeles Lakers,V
Memphis Grizzlies,Phoenix Suns,H
Sacramento Kings,Cleveland Cavaliers,H
Boston Celtics,New Orleans Pelicans,H
Houston Rockets,Brooklyn Nets,V
Orlando Magic,Chicago Bulls,V
Detroit Pistons,Toronto Raptors,V
Minnesota Timberwolves,Indiana Pacers,V
Miami Heat,Los Angeles Lakers,V
Atlanta Hawks,Philadelphia 76ers,V
Phoenix Suns,Cleveland Cavaliers,H
Dallas Mavericks,Sacramento Kings,V
Golden State Warriors,Utah Jazz,V
Washington Wizards,San Antonio Spurs,H
Atlanta Hawks,Boston Celtics,V
Memphis Grizzlies,Brooklyn Nets,V
Washington Wizards,Chicago Bulls,V
San Antonio Spurs,Charlotte Hornets,V
Denver Nuggets,Dallas Mavericks,H
New Orleans Pelicans,Detroit Pistons,V
Golden State Warriors,Miami Heat,H
Orlando Magic,Houston Rockets,H
Los Angeles Clippers,Portland Trail Blazers,V
Toronto Raptors,Philadelphia 76ers,H
Houston Rockets,Oklahoma City Thunder,H
Cleveland Cavaliers,Los Angeles Lakers,V
Milwaukee Bucks,New York Knicks,H
Chicago Bulls,Boston Celtics,V
Dallas Mavericks,Denver Nuggets,H
Detroit Pistons,Indiana Pacers,V
Cleveland Cavaliers,Los Angeles Clippers,V
Oklahoma City Thunder,Golden State Warriors,H
Memphis Grizzlies,Orlando Magic,V
Philadelphia 76ers,New Orleans Pelicans,H
Phoenix Suns,Minnesota Timberwolves,H
Miami Heat,Sacramento Kings,V
San Antonio Spurs,Portland Trail Blazers,H
Atlanta Hawks,Toronto Raptors,V
Utah Jazz,Los Angeles Lakers,H
Brooklyn Nets,Washington Wizards,V
Washington Wizards,Brooklyn Nets,V
Atlanta Hawks,Chicago Bulls,V
Charlotte Hornets,Indiana Pacers,H
Minnesota Timberwolves,Denver Nuggets,V
Detroit Pistons,Philadelphia 76ers,H
Golden State Warriors,Houston Rockets,V
Memphis Grizzlies,Portland Trail Blazers,H
Los Angeles Clippers,Sacramento Kings,V
Oklahoma City Thunder,Orlando Magic,V
San Antonio Spurs,Utah Jazz,H
New Orleans Pelicans,Toronto Raptors,V
Atlanta Hawks,Detroit Pistons,H
Charlotte Hornets,Minnesota Timberwolves,H
Cleveland Cavaliers,Chicago Bulls,H
Golden State Warriors,Denver Nuggets,H
Houston Rockets,Indiana Pacers,H
Los Angeles Clippers,Boston Celtics,H
Dallas Mavericks,Memphis Grizzlies,V
Toronto Raptors,Milwaukee Bucks,V
New York Knicks,New Orleans Pelicans,H
Phoenix Suns,Los Angeles Lakers,H
Portland Trail Blazers,Sacramento Kings,H
Washington Wizards,Philadelphia 76ers,H
San Antonio Spurs,Denver Nuggets,V
Oklahoma City Thunder,Miami Heat,V
Atlanta Hawks,Indiana Pacers,H
Charlotte Hornets,Miami Heat,H
Cleveland Cavaliers,Utah Jazz,H
Detroit Pistons,Orlando Magic,H
Golden State Warriors,Houston Rockets,H
Memphis Grizzlies,Toronto Raptors,H
Dallas Mavericks,Minnesota Timberwolves,V
New Orleans Pelicans,Los Angeles Lakers,H
New York Knicks,Philadelphia 76ers,V
Phoenix Suns,Portland Trail Blazers,H
Brooklyn Nets,Sacramento Kings,V
Oklahoma City Thunder,Washington Wizards,V
Chicago Bulls,San Antonio Spurs,H
Los Angeles Clippers,Brooklyn Nets,H
Utah Jazz,Milwaukee Bucks,V
Boston Celtics,Portland Trail Blazers,V
Atlanta Hawks,Oklahoma City Thunder,H
Cleveland Cavaliers,Charlotte Hornets,H
Chicago Bulls,Dallas Mavericks,V
Boston Celtics,Denver Nuggets,V
Golden State Warriors,Sacramento Kings,H
Miami Heat,Indiana Pacers,H
New Orleans Pelicans,Minnesota Timberwolves,V
New York Knicks,Orlando Magic,H
Toronto Raptors,Philadelphia 76ers,V
Houston Rockets,Phoenix Suns,V
San Antonio Spurs,Los Angeles Lakers,H
Charlotte Hornets,New York Knicks,H
Memphis Grizzlies,Philadelphia 76ers,H
Milwaukee Bucks,Detroit Pistons,H
Portland Trail Blazers,Washington Wizards,H
Utah Jazz,Brooklyn Nets,H
Atlanta Hawks,Minnesota Timberwolves,H
