WTeam,LTeam,WLoc
Houston Rockets,Los Angeles Lakers,V
New Orleans Pelicans,Orlando Magic,H
San Antonio Spurs,Dallas Mavericks,H
Boston Celtics,Brooklyn Nets,H
Charlotte Hornets,Milwaukee Bucks,H
Denver Nuggets,Detroit Pistons,H
Indiana Pacers,Philadelphia 76ers,H
Memphis Grizzlies,Minnesota Timberwolves,H
Miami Heat,Washington Wizards,H
Chicago Bulls,New York Knicks,V
Phoenix Suns,Los Angeles Lakers,H
Portland Trail Blazers,Oklahoma City Thunder,H
Golden State Warriors,Sacramento Kings,V
Toronto Raptors,Atlanta Hawks,H
Houston Rockets,Utah Jazz,V
New York Knicks,Cleveland Cavaliers,V
Dallas Mavericks,Utah Jazz,H
Los Angeles Clippers,Oklahoma City Thunder,H
Minnesota Timberwolves,Detroit Pistons,H
Washington Wizards,Orlando Magic,V
Cleveland Cavaliers,Chicago Bulls,V
Memphis Grizzlies,Indiana Pacers,V
Los Angeles Clippers,Los Angeles Lakers,V
Milwaukee Bucks,Philadelphia 76ers,H
Phoenix Suns,San Antonio Spurs,H
Sacramento Kings,Portland Trail Blazers,H
Atlanta Hawks,Indiana Pacers,H
Memphis Grizzlies,Charlotte Hornets,V
Brooklyn Nets,Detroit Pistons,V
Golden State Warriors,Los Angeles Lakers,H
Houston Rockets,Boston Celtics,H
Chicago Bulls,Minnesota Timberwolves,V
Dallas Mavericks,New Orleans Pelicans,V
Oklahoma City Thunder,Denver Nuggets,H
Toronto Raptors,Orlando Magic,V
Miami Heat,Philadelphia 76ers,V
Utah Jazz,Phoenix Suns,H
Washington Wizards,Milwaukee Bucks,H
Sacramento Kings,Los Angeles Clippers,V
Miami Heat,Toronto Raptors,H
New York Knicks,Charlotte Hornets,H
Golden State Warriors,Portland Trail Blazers,V
Brooklyn Nets,Oklahoma City Thunder,H
Dallas Mavericks,Boston Celtics,H
Sacramento Kings,Denver Nuggets,V
Los Angeles Clippers,Utah Jazz,H
Memphis Grizzlies,New Orleans Pelicans,H
Houston Rockets,Philadelphia 76ers,V
Chicago Bulls,Orlando Magic,H
Milwaukee Bucks,Indiana Pacers,V
Phoenix Suns,Los Angeles Lakers,V
Houston Rockets,Miami Heat,V
New Orleans Pelicans,Charlotte Hornets,H
Washington Wizards,New York Knicks,V
Portland Trail Blazers,Cleveland Cavaliers,H
Toronto Raptors,Oklahoma City Thunder,H
Toronto Raptors,Boston Celtics,V
Minnesota Timberwolves,Brooklyn Nets,V
Charlotte Hornets,Miami Heat,H
Detroit Pistons,New York Knicks,H
Golden State Warriors,Los Angeles Clippers,H
Chicago Bulls,Milwaukee Bucks,V
Orlando Magic,Philadelphia 76ers,V
Memphis Grizzlies,Phoenix Suns,V
Sacramento Kings,Denver Nuggets,H
San Antonio Spurs,Atlanta Hawks,H
Utah Jazz,Cleveland Cavaliers,H
Washington Wizards,Indiana Pacers,H
Houston Rockets,San Antonio Spurs,H
Portland Trail Blazers,Dallas Mavericks,H
Boston Celtics,Indiana Pacers,H
Brooklyn Nets,New York Knicks,H
