WTeam,LTeam,WLoc
Portland Trail Blazers,Brooklyn Nets,V
Chicago Bulls,Charlotte Hornets,H
Dallas Mavericks,Philadelphia 76ers,H
Memphis Grizzlies,Los Angeles Clippers,V
Oklahoma City Thunder,Denver Nuggets,H
Golden State Warriors,Utah Jazz,V
Detroit Pistons,New York Knicks,H
Houston Rockets,Boston Celtics,H
Miami Heat,Atlanta Hawks,H
Sacramento Kings,Phoenix Suns,H
Washington Wizards,Minnesota Timberwolves,H
Atlanta Hawks,Detroit Pistons,H
Charlotte Hornets,Brooklyn Nets,H
Washington Wizards,Cleveland Cavaliers,V
Dallas Mavericks,Houston Rockets,H
Memphis Grizzlies,Golden State Warriors,V
Portland Trail Blazers,Milwaukee Bucks,V
Los Angeles Clippers,Minnesota Timberwolves,V
New Orleans Pelicans,Utah Jazz,H
Indiana Pacers,New York Knicks,V
Miami Heat,Orlando Magic,V
Toronto Raptors,Philadelphia 76ers,V
Sacramento Kings,Phoenix Suns,V
San Antonio Spurs,Boston Celtics,H
Denver Nuggets,Chicago Bulls,H
Oklahoma City Thunder,Los Angeles Clippers,H
Indiana Pacers,Boston Celtics,V
Phoenix Suns,Charlotte Hornets,V
Dallas Mavericks,Utah Jazz,H
Atlanta Hawks,Detroit Pistons,V
Los Angeles Lakers,Golden State Warriors,H
San Antonio Spurs,Memphis Grizzlies,V
Minnesota Timberwolves,Brooklyn Nets,H
New Orleans Pelicans,Cleveland Cavaliers,H
Philadelphia 76ers,Milwaukee Bucks,H
Portland Trail Blazers,Chicago Bulls,H
Toronto Raptors,Washington Wizards,H
Boston Celtics,Atlanta Hawks,V
Denver Nuggets,Dallas Mavericks,H
Portland Trail Blazers,Golden State Warriors,V
Houston Rockets,Minnesota Timberwolves,H
Indiana Pacers,Philadelphia 76ers,H
Los Angeles Clippers,Sacramento Kings,H
Miami Heat,Orlando Magic,H
Charlotte Hornets,Milwaukee Bucks,V
San Antonio Spurs,Cleveland Cavaliers,H
Washington Wizards,New York Knicks,H
Detroit Pistons,Brooklyn Nets,V
Los Angeles Clippers,Chicago Bulls,H
Los Angeles Lakers,Sacramento Kings,H
Oklahoma City Thunder,Utah Jazz,H
Phoenix Suns,Orlando Magic,V
Boston Celtics,Charlotte Hornets,V
Denver Nuggets,Dallas Mavericks,V
Detroit Pistons,Milwaukee Bucks,H
Indiana Pacers,Minnesota Timberwolves,H
Houston Rockets,Memphis Grizzlies,V
Miami Heat,Phoenix Suns,H
Portland Trail Blazers,New York Knicks,H
San Antonio Spurs,New Orleans Pelicans,H
Utah Jazz,Chicago Bulls,H
Orlando Magic,Atlanta Hawks,V
Golden State Warriors,New Orleans Pelicans,V
Brooklyn Nets,Toronto Raptors,V
Washington Wizards,Los Angeles Lakers,H
Memphis Grizzlies,Boston Celtics,V
Los Angeles Lakers,Brooklyn Nets,V
Indiana Pacers,Charlotte Hornets,V
Miami Heat,Cleveland Cavaliers,V
Dallas Mavericks,Golden State Warriors,H
Chicago Bulls,Detroit Pistons,V
Houston Rockets,Atlanta Hawks,H
Los Angeles Clippers,New York Knicks,H
Washington Wizards,Milwaukee Bucks,V
Denver Nuggets,Minnesota Timberwolves,V
Oklahoma City Thunder,San Antonio Spurs,H
Orlando Magic,Philadelphia 76ers,H
Phoenix Suns,Portland Trail Blazers,H
Atlanta Hawks,Dallas Mavericks,H
Boston Celtics,Cleveland Cavaliers,H
Charlotte Hornets,Milwaukee Bucks,H
Denver Nuggets,New York Knicks,H
Los Angeles Lakers,Detroit Pistons,V
Houston Rockets,Brooklyn Nets,H
Indiana Pacers,Washington Wizards,H
Oklahoma City Thunder,Golden State Warriors,H
San Antonio Spurs,Orlando Magic,V
New Orleans Pelicans,Philadelphia 76ers,V
Los Angeles Clippers,Sacramento Kings,V
Miami Heat,Toronto Raptors,V
Phoenix Suns,Utah Jazz,V
Cleveland Cavaliers,Chicago Bulls,H
Minnesota Timberwolves,Dallas Mavericks,V
Brooklyn Nets,Memphis Grizzlies,V
Milwaukee Bucks,Boston Celtics,H
Utah Jazz,Phoenix Suns,V
Houston Rockets,San Antonio Spurs,V
Washington Wizards,Atlanta Hawks,H
Detroit Pistons,Philadelphia 76ers,H
Indiana Pacers,Los Angeles Clippers,V
Portland Trail Blazers,Los Angeles Lakers,V
Miami Heat,Charlotte Hornets,H
New Orleans Pelicans,New York Knicks,V
Oklahoma City Thunder,Minnesota Timberwolves,H
Golden State Warriors,Sacramento Kings,V
Denver Nuggets,Toronto Raptors,V
New Orleans Pelicans,Chicago Bulls,V
Portland Trail Blazers,Indiana Pacers,H
San Antonio Spurs,Atlanta Hawks,H
Utah Jazz,Houston Rockets,H
Washington Wizards,Orlando Magic,H
Boston Celtics,Milwaukee Bucks,H
Denver Nuggets,Brooklyn Nets,V
Dallas Mavericks,Charlotte Hornets,H
Golden State Warriors,Toronto Raptors,H
Memphis Grizzlies,Phoenix Suns,H
Detroit Pistons,Miami Heat,V
Philadelphia 76ers,Orlando Magic,H
Oklahoma City Thunder,Sacramento Kings,V
Atlanta Hawks,Los Angeles Clippers,H
Cleveland Cavaliers,Denver Nuggets,H
Phoenix Suns,Houston Rockets,V
Detroit Pistons,Milwaukee Bucks,V
Dallas Mavericks,New Orleans Pelicans,V
Portland Trail Blazers,Oklahoma City Thunder,H
Indiana Pacers,Utah Jazz,V
New York Knicks,Brooklyn Nets,V
Chicago Bulls,Miami Heat,H
Los Angeles Clippers,Memphis Grizzlies,V
Atlanta Hawks,Cleveland Cavaliers,H
Boston Celtics,Denver Nuggets,H
Charlotte Hornets,Philadelphia 76ers,H
Houston Rockets,Golden State Warriors,H
Oklahoma City Thunder,New Orleans Pelicans,V
New York Knicks,Orlando Magic,H
Phoenix Suns,Toronto Raptors,H
Portland Trail Blazers,Utah Jazz,H
Los Angeles Lakers,Sacramento Kings,V
Milwaukee Bucks,Washington Wizards,V
Detroit Pistons,Chicago Bulls,V
Cleveland Cavaliers,Los Angeles Clippers,H
Golden State Warriors,Memphis Grizzlies,V
Brooklyn Nets,Milwaukee Bucks,V
Miami Heat,Minnesota Timberwolves,V
Denver Nuggets,Philadelphia 76ers,V
Dallas Mavericks,Portland Trail Blazers,V
Indiana Pacers,San Antonio Spurs,V
Sacramento Kings,Utah Jazz,V
Miami Heat,Detroit Pistons,V
Houston Rockets,Orlando Magic,H
Toronto Raptors,Los Angeles Lakers,V
Boston Celtics,New York Knicks,V
Oklahoma City Thunder,Indiana Pacers,H
Charlotte Hornets,Golden State Warriors,H
Memphis Grizzlies,Orlando Magic,H
Los Angeles Clippers,Philadelphia 76ers,V
Sacramento Kings,Dallas Mavericks,H
Portland Trail Blazers,Utah Jazz,V
Denver Nuggets,Washington Wizards,V
Oklahoma City Thunder,Atlanta Hawks,V
Brooklyn Nets,Boston Celtics,H
Milwaukee Bucks,Chicago Bulls,V
Cleveland Cavaliers,New York Knicks,H
Minnesota Timberwolves,Detroit Pistons,V
Indiana Pacers,Miami Heat,H
Phoenix Suns,Los Angeles Lakers,V
San Antonio Spurs,Toronto Raptors,V
Los Angeles Clippers,Boston Celtics,V
Orlando Magic,Charlotte Hornets,V
Golden State Warriors,Dallas Mavericks,H
Oklahoma City Thunder,Memphis Grizzlies,V
San Antonio Spurs,Milwaukee Bucks,V
Minnesota Timberwolves,Philadelphia 76ers,H
New Orleans Pelicans,Detroit Pistons,H
New York Knicks,Chicago Bulls,H
Utah Jazz,Sacramento Kings,V
Brooklyn Nets,Los Angeles Clippers,H
Portland Trail Blazers,Houston Rockets,H
Atlanta Hawks,Washington Wizards,H
Boston Celtics,New York Knicks,H
Utah Jazz,Denver Nuggets,V
Detroit Pistons,Brooklyn Nets,H
Houston Rockets,Golden State Warriors,V
Indiana Pacers,Charlotte Hornets,H
Chicago Bulls,Milwaukee Bucks,V
New Orleans Pelicans,Memphis Grizzlies,H
Oklahoma City Thunder,Los Angeles Lakers,H
Cleveland Cavaliers,Orlando Magic,V
Phoenix Suns,Sacramento Kings,H
San Antonio Spurs,Minnesota Timberwolves,H
Toronto Raptors,Philadelphia 76ers,H
Los Angeles Lakers,Charlotte Hornets,V
Toronto Raptors,Chicago Bulls,V
Dallas Mavericks,Milwaukee Bucks,H
Miami Heat,Cleveland Cavaliers,H
New York Knicks,Atlanta Hawks,H
Portland Trail Blazers,Philadelphia 76ers,V
San Antonio Spurs,Utah Jazz,V
Los Angeles Clippers,Washington Wizards,V
Denver Nuggets,New Orleans Pelicans,H
Portland Trail Blazers,Detroit Pistons,V
Minnesota Timberwolves,Memphis Grizzlies,V
Oklahoma City Thunder,Orlando Magic,H
Phoenix Suns,Golden State Warriors,H
Sacramento Kings,Houston Rockets,H
Atlanta Hawks,Los Angeles Lakers,H
Boston Celtics,Minnesota Timberwolves,H
Brooklyn Nets,Philadelphia 76ers,H
Orlando Magic,Chicago Bulls,V
Detroit Pistons,Indiana Pacers,V
Los Angeles Clippers,San Antonio Spurs,H
Miami Heat,Utah Jazz,H
Washington Wizards,New York Knicks,V
Charlotte Hornets,Sacramento Kings,H
Portland Trail Blazers,Cleveland Cavaliers,V
Oklahoma City Thunder,Denver Nuggets,V
Golden State Warriors,New Orleans Pelicans,H
Los Angeles Lakers,Memphis Grizzlies,V
Atlanta Hawks,Sacramento Kings,H
Detroit Pistons,Boston Celtics,V
Washington Wizards,Brooklyn Nets,V
Dallas Mavericks,Memphis Grizzlies,H
Houston Rockets,Chicago Bulls,H
Los Angeles Clippers,New Orleans Pelicans,H
Miami Heat,Indiana Pacers,H
New York Knicks,Milwaukee Bucks,V
Minnesota Timberwolves,Portland Trail Blazers,H
Utah Jazz,Orlando Magic,V
San Antonio Spurs,Phoenix Suns,V
Charlotte Hornets,Toronto Raptors,V
San Antonio Spurs,Golden State Warriors,V
Oklahoma City Thunder,Chicago Bulls,H
Atlanta Hawks,Utah Jazz,H
Cleveland Cavaliers,Milwaukee Bucks,H
Toronto Raptors,Dallas Mavericks,V
Phoenix Suns,Denver Nuggets,V
Charlotte Hornets,Detroit Pistons,V
Indiana Pacers,Houston Rockets,H
Los Angeles Lakers,Minnesota Timberwolves,H
Miami Heat,Sacramento Kings,H
Philadelphia 76ers,Brooklyn Nets,H
Washington Wizards,Boston Celtics,V
Utah Jazz,Charlotte Hornets,V
Chicago Bulls,Cleveland Cavaliers,H
Houston Rockets,Detroit Pistons,V
Golden State Warriors,Los Angeles Lakers,H
Los Angeles Clippers,Denver Nuggets,H
Milwaukee Bucks,Philadelphia 76ers,H
Memphis Grizzlies,New York Knicks,V
Sacramento Kings,Orlando Magic,V
Phoenix Suns,Dallas Mavericks,H
Portland Trail Blazers,New Orleans Pelicans,H
Oklahoma City Thunder,San Antonio Spurs,V
Indiana Pacers,Boston Celtics,H
Los Angeles Clippers,Minnesota Timberwolves,H
Toronto Raptors,Oklahoma City Thunder,V
Indiana Pacers,Brooklyn Nets,V
Charlotte Hornets,Milwaukee Bucks,H
Detroit Pistons,Cleveland Cavaliers,V
Golden State Warriors,Denver Nuggets,V
Dallas Mavericks,Houston Rockets,V
Memphis Grizzlies,Utah Jazz,H
Miami Heat,Atlanta Hawks,H
New York Knicks,Orlando Magic,V
Phoenix Suns,Los Angeles Lakers,H
New Orleans Pelicans,Sacramento Kings,V
San Antonio Spurs,Toronto Raptors,H
Chicago Bulls,Brooklyn Nets,V
Golden State Warriors,Los Angeles Clippers,H
Miami Heat,Los Angeles Lakers,V
Oklahoma City Thunder,New York Knicks,V
Houston Rockets,San Antonio Spurs,V
Atlanta Hawks,Cleveland Cavaliers,V
San Antonio Spurs,Dallas Mavericks,V
Houston Rockets,Memphis Grizzlies,H
Portland Trail Blazers,Los Angeles Clippers,H
Brooklyn Nets,Milwaukee Bucks,H
Oklahoma City Thunder,Charlotte Hornets,V
Golden State Warriors,Phoenix Suns,H
Minnesota Timberwolves,Washington Wizards,H
New Orleans Pelicans,Denver Nuggets,H
Toronto Raptors,New York Knicks,V
Orlando Magic,Detroit Pistons,H
Sacramento Kings,Miami Heat,H
Utah Jazz,Los Angeles Lakers,H
Atlanta Hawks,Charlotte Hornets,H
Boston Celtics,Cleveland Cavaliers,H
Dallas Mavericks,Chicago Bulls,V
Houston Rockets,New Orleans Pelicans,H
Indiana Pacers,Brooklyn Nets,H
Los Angeles Clippers,Utah Jazz,H
Memphis Grizzlies,Denver Nuggets,H
Minnesota Timberwolves,Milwaukee Bucks,V
Phoenix Suns,Philadelphia 76ers,H
Miami Heat,Portland Trail Blazers,V
Toronto Raptors,New York Knicks,H
Washington Wizards,Detroit Pistons,H
Golden State Warriors,Cleveland Cavaliers,V
Philadelphia 76ers,Los Angeles Lakers,V
Oklahoma City Thunder,Houston Rockets,H
Orlando Magic,Atlanta Hawks,H
San Antonio Spurs,Sacramento Kings,H
Miami Heat,Denver Nuggets,V
Washington Wizards,Detroit Pistons,V
Phoenix Suns,Los Angeles Clippers,V
Chicago Bulls,Memphis Grizzlies,V
Dallas Mavericks,Minnesota Timberwolves,V
New Orleans Pelicans,Portland Trail Blazers,H
Utah Jazz,Charlotte Hornets,H
Atlanta Hawks,Boston Celtics,V
Toronto Raptors,Chicago Bulls,V
Sacramento Kings,Houston Rockets,V
Indiana Pacers,Cleveland Cavaliers,H
Milwaukee Bucks,Los Angeles Lakers,V
Portland Trail Blazers,Oklahoma City Thunder,V
Golden State Warriors,Orlando Magic,V
San Antonio Spurs,Brooklyn Nets,H
Philadelphia 76ers,Denver Nuggets,V
Los Angeles Clippers,Charlotte Hornets,H
Minnesota Timberwolves,New Orleans Pelicans,H
Toronto Raptors,Indiana Pacers,H
Dallas Mavericks,Washington Wizards,V
Chicago Bulls,Boston Celtics,H
Cleveland Cavaliers,Orlando Magic,H
Golden State Warriors,Miami Heat,V
Brooklyn Nets,Oklahoma City Thunder,V
Memphis Grizzlies,Phoenix Suns,V
Portland Trail Blazers,Charlotte Hornets,H
Philadelphia 76ers,Sacramento Kings,V
New York Knicks,San Antonio Spurs,V
Utah Jazz,Milwaukee Bucks,H
Golden State Warriors,Atlanta Hawks,V
New Orleans Pelicans,Boston Celtics,V
Los Angeles Clippers,Dallas Mavericks,V
Denver Nuggets,Memphis Grizzlies,H
Houston Rockets,New York Knicks,H
Los Angeles Lakers,Utah Jazz,H
Toronto Raptors,Washington Wizards,V
Brooklyn Nets,Cleveland Cavaliers,H
Chicago Bulls,Atlanta Hawks,H
Indiana Pacers,New Orleans Pelicans,H
Oklahoma City Thunder,Minnesota Timberwolves,V
Miami Heat,Orlando Magic,V
Phoenix Suns,Milwaukee Bucks,H
Philadelphia 76ers,Portland Trail Blazers,V
Charlotte Hornets,Sacramento Kings,V
San Antonio Spurs,Los Angeles Clippers,H
Indiana Pacers,Cleveland Cavaliers,V
New York Knicks,Dallas Mavericks,V
Memphis Grizzlies,Detroit Pistons,V
Denver Nuggets,Los Angeles Lakers,V
Miami Heat,Toronto Raptors,H
Oklahoma City Thunder,Boston Celtics,H
Golden State Warriors,Washington Wizards,V
Brooklyn Nets,Atlanta Hawks,H
Los Angeles Clippers,Orlando Magic,H
Minnesota Timberwolves,Philadelphia 76ers,V
Washington Wizards,Charlotte Hornets,V
Chicago Bulls,Phoenix Suns,H
Cleveland Cavaliers,Philadelphia 76ers,H
Dallas Mavericks,Los Angeles Lakers,H
Denver Nuggets,Boston Celtics,H
Indiana Pacers,Toronto Raptors,H
San Antonio Spurs,Memphis Grizzlies,V
Miami Heat,New Orleans Pelicans,H
Golden State Warriors,Milwaukee Bucks,V
New York Knicks,Detroit Pistons,H
Sacramento Kings,Portland Trail Blazers,H
Utah Jazz,Oklahoma City Thunder,H
Atlanta Hawks,Indiana Pacers,H
Brooklyn Nets,Golden State Warriors,H
Houston Rockets,Los Angeles Lakers,H
Los Angeles Clippers,Boston Celtics,H
Phoenix Suns,Minnesota Timberwolves,V
Washington Wizards,New Orleans Pelicans,V
Portland Trail Blazers,Orlando Magic,H
San Antonio Spurs,Dallas Mavericks,H
Toronto Raptors,Detroit Pistons,H
Denver Nuggets,Oklahoma City Thunder,H
New York Knicks,Miami Heat,H
Atlanta Hawks,Houston Rockets,H
Brooklyn Nets,Miami Heat,H
Golden State Warriors,Boston Celtics,H
Indiana Pacers,Washington Wizards,H
Los Angeles Clippers,Los Angeles Lakers,H
Memphis Grizzlies,Phoenix Suns,H
Chicago Bulls,Milwaukee Bucks,V
Minnesota Timberwolves,Charlotte Hornets,H
Dallas Mavericks,New Orleans Pelicans,V
Detroit Pistons,Philadelphia 76ers,V
Sacramento Kings,Orlando Magic,H
Cleveland Cavaliers,Utah Jazz,V
Chicago Bulls,Charlotte Hornets,H
Dallas Mavericks,New Orleans Pelicans,H
Denver Nuggets,Orlando Magic,H
Detroit Pistons,Phoenix Suns,H
Oklahoma City Thunder,Milwaukee Bucks,H
New York Knicks,Philadelphia 76ers,V
Portland Trail Blazers,Boston Celtics,H
Toronto Raptors,Brooklyn Nets,H
Houston Rockets,Washington Wizards,V
Memphis Grizzlies,Atlanta Hawks,H
Sacramento Kings,Cleveland Cavaliers,H
San Antonio Spurs,Minnesota Timberwolves,H
Houston Rockets,Boston Celtics,V
Washington Wizards,Chicago Bulls,V
Dallas Mavericks,Orlando Magic,H
San Antonio Spurs,New Orleans Pelicans,V
New York Knicks,Phoenix Suns,H
Toronto Raptors,Milwaukee Bucks,H
Utah Jazz,Denver Nuggets,H
Charlotte Hornets,New York Knicks,H
Indiana Pacers,Sacramento Kings,H
Cleveland Cavaliers,Los Angeles Lakers,V
Memphis Grizzlies,Oklahoma City Thunder,H
Boston Celtics,Toronto Raptors,H
Denver Nuggets,Golden State Warriors,V
Los Angeles Clippers,Dallas Mavericks,H
Memphis Grizzlies,Milwaukee Bucks,V
Sacramento Kings,Minnesota Timberwolves,V
Houston Rockets,New Orleans Pelicans,V
Chicago Bulls,Orlando Magic,V
Philadelphia 76ers,Charlotte Hornets,H
Phoenix Suns,Los Angeles Lakers,H
Portland Trail Blazers,Cleveland Cavaliers,H
San Antonio Spurs,Utah Jazz,H
Washington Wizards,Miami Heat,H
Brooklyn Nets,Atlanta Hawks,V
Oklahoma City Thunder,Houston Rockets,V
Indiana Pacers,New York Knicks,H
Los Angeles Lakers,Boston Celtics,V
Cleveland Cavaliers,Denver Nuggets,V
Utah Jazz,Detroit Pistons,V
Memphis Grizzlies,Sacramento Kings,H
Los Angeles Clippers,New York Knicks,V
Oklahoma City Thunder,Golden State Warriors,H
Charlotte Hornets,Orlando Magic,V
Miami Heat,Philadelphia 76ers,V
Dallas Mavericks,Phoenix Suns,V
Portland Trail Blazers,San Antonio Spurs,V
Toronto Raptors,Minnesota Timberwolves,H
Washington Wizards,Chicago Bulls,H
Miami Heat,Charlotte Hornets,V
Chicago Bulls,Philadelphia 76ers,H
Portland Trail Blazers,Dallas Mavericks,V
Houston Rockets,Milwaukee Bucks,H
Indiana Pacers,Los Angeles Clippers,H
Minnesota Timberwolves,Utah Jazz,H
Golden State Warriors,New Orleans Pelicans,V
Detroit Pistons,Washington Wizards,V
Oklahoma City Thunder,Sacramento Kings,H
Orlando Magic,Boston Celtics,H
Phoenix Suns,Denver Nuggets,H
San Antonio Spurs,Milwaukee Bucks,H
Los Angeles Lakers,Toronto Raptors,V
Atlanta Hawks,Miami Heat,H
Charlotte Hornets,Toronto Raptors,H
Chicago Bulls,Los Angeles Lakers,H
Dallas Mavericks,Cleveland Cavaliers,V
Los Angeles Clippers,Detroit Pistons,V
Indiana Pacers,Golden State Warriors,V
Houston Rockets,Portland Trail Blazers,H
New Orleans Pelicans,Memphis Grizzlies,V
Brooklyn Nets,New York Knicks,V
Washington Wizards,Philadelphia 76ers,H
Brooklyn Nets,Orlando Magic,H
Miami Heat,Boston Celtics,H
Sacramento Kings,New Orleans Pelicans,V
Oklahoma City Thunder,Portland Trail Blazers,H
Minnesota Timberwolves,Utah Jazz,V
Charlotte Hornets,Los Angeles Clippers,H
Chicago Bulls,Cleveland Cavaliers,V
Houston Rockets,Sacramento Kings,H
Milwaukee Bucks,Detroit Pistons,H
Philadelphia 76ers,New York Knicks,V
Atlanta Hawks,Orlando Magic,V
Phoenix Suns,Indiana Pacers,H
Oklahoma City Thunder,San Antonio Spurs,V
Toronto Raptors,Dallas Mavericks,H
Boston Celtics,Washington Wizards,V
Miami Heat,Los Angeles Lakers,H
Portland Trail Blazers,Denver Nuggets,H
San Antonio Spurs,Atlanta Hawks,V
Oklahoma City Thunder,Boston Celtics,V
Brooklyn Nets,Dallas Mavericks,H
Los Angeles Clippers,Chicago Bulls,V
Cleveland Cavaliers,Milwaukee Bucks,H
New Orleans Pelicans,Detroit Pistons,V
Minnesota Timberwolves,Golden State Warriors,V
Memphis Grizzlies,Houston Rockets,V
New York Knicks,Charlotte Hornets,H
Orlando Magic,Los Angeles Lakers,H
Toronto Raptors,Philadelphia 76ers,V
Washington Wizards,Phoenix Suns,V
Indiana Pacers,Sacramento Kings,V
Chicago Bulls,Charlotte Hornets,V
Denver Nuggets,Indiana Pacers,H
Memphis Grizzlies,Houston Rockets,H
Atlanta Hawks,Milwaukee Bucks,V
Oklahoma City Thunder,Philadelphia 76ers,V
Portland Trail Blazers,Minnesota Timberwolves,H
Los Angeles Clippers,Toronto Raptors,V
Utah Jazz,Washington Wizards,H
Brooklyn Nets,Boston Celtics,V
Phoenix Suns,Cleveland Cavaliers,V
Dallas Mavericks,Detroit Pistons,H
Golden State Warriors,Portland Trail Blazers,H
